customer_id,prob,default
10000,0.031565856,0
10001,0.022534482,0
10002,0.07838209,0
10003,0.015420932,0
10004,0.029605506,0
10005,0.01120704,0
10006,0.03653438,0
10007,0.033919238,0
10008,0.024215585,0
10009,0.0064135683,0
10010,0.05958303,0
10011,0.0101528475,0
10012,0.0062175966,0
10013,0.013632494,0
10014,0.009375506,0
10015,0.13037239,0
10016,0.25038546,0
10017,0.009496485,0
10018,0.060634818,0
10019,0.0029714068,0
10020,0.00691052,0
10021,0.119932845,0
10022,0.09173962,0
10023,0.017920887,0
10024,0.27953562,0
10025,0.028599273,0
10026,0.011249556,0
10027,0.013900398,0
10028,0.033525884,0
10029,0.03554154,0
10030,0.3248673,0
10031,0.0052934047,0
10032,0.015432092,0
10033,0.002641276,0
10034,0.005818635,0
10035,0.5250311,1
10036,0.1332727,0
10037,0.46256435,0
10038,0.014180217,0
10039,0.009114296,0
10040,0.05158066,0
10041,0.35939166,0
10042,0.04609693,0
10043,0.0008873204,0
10044,0.03505244,0
10045,0.018284438,0
10046,0.31388193,0
10047,0.060845144,0
10048,0.052452084,0
10049,0.0075460155,0
10050,0.028137121,0
10051,0.009944885,0
10052,0.020437626,0
10053,0.018481929,0
10054,0.0073262905,0
10055,0.01625313,0
10056,0.024950733,0
10057,0.017731672,0
10058,0.020045731,0
10059,0.019579053,0
10060,0.0079532955,0
10061,0.08558743,0
10062,0.018049996,0
10063,0.007377815,0
10064,0.11827416,0
10065,0.0023278024,0
10066,0.010175525,0
10067,0.012983231,0
10068,0.021641204,0
10069,0.024365429,0
10070,0.058150906,0
10071,0.018266981,0
10072,0.06446542,0
10073,0.01728875,0
10074,0.017484851,0
10075,0.04881109,0
10076,0.036213648,0
10077,0.00284867,0
10078,0.0039986446,0
10079,0.0036916707,0
10080,0.007900815,0
10081,0.15011896,0
10082,0.0053728484,0
10083,0.030826733,0
10084,0.002526072,0
10085,0.014667079,0
10086,0.021386549,0
10087,0.05872051,0
10088,0.13233349,0
10089,0.0035804317,0
10090,0.21501264,0
10091,0.7671567,1
10092,0.102983326,0
10093,0.09718129,0
10094,0.006071629,0
10095,0.044241242,0
10096,0.030006735,0
10097,0.011063314,0
10098,0.0036983571,0
10099,0.033167966,0
10100,0.0059669176,0
10101,0.16108611,0
10102,0.02674812,0
10103,0.007891909,0
10104,0.012831979,0
10105,0.0032555768,0
10106,0.013124816,0
10107,0.025384797,0
10108,0.004955048,0
10109,0.005694602,0
10110,0.00783418,0
10111,0.0106166145,0
10112,0.004244722,0
10113,0.1066938,0
10114,0.022193471,0
10115,0.01784176,0
10116,0.12243628,0
10117,0.012067688,0
10118,0.021691913,0
10119,0.07644273,0
10120,0.023605568,0
10121,0.021987215,0
10122,0.014213919,0
10123,0.015048806,0
10124,0.028393585,0
10125,0.0024720244,0
10126,0.002801232,0
10127,0.017941987,0
10128,0.020204382,0
10129,0.0159616,0
10130,0.05711288,0
10131,0.010013292,0
10132,0.009337378,0
10133,0.015190631,0
10134,0.035425227,0
10135,0.0702828,0
10136,0.0047829966,0
10137,0.003471032,0
10138,0.01703582,0
10139,0.0061858627,0
10140,0.01610591,0
10141,0.0078599565,0
10142,0.008397958,0
10143,0.00489771,0
10144,0.0066860104,0
